fabric,dc_percent,a_proj_cm2,a_specimen_cm2,a_disc_cm2,bend,young_mod,density,frames,target_min,target_max,in_band
Silk,33.0,403.61,706.37,254.29,1.42,500.0,1.0,350,20.0,40.0,True
Flag,26.4,373.58,706.37,254.29,0.83,1000.0,1.0,350,20.0,40.0,True
Cotton,68.9,565.87,706.37,254.29,4.3,5500.0,1.0,350,60.0,76.0,True
Wool,61.2,530.98,706.37,254.29,3.67,2000.0,1.0,350,40.0,70.0,True
Denim,87.2,648.39,706.37,254.29,10.0,10000.0,1.0,350,70.0,90.0,True
Leather,54.7,501.62,706.37,254.29,1.8,13000.0,1.0,350,47.0,70.0,True
